Tick, Source Station, Destination Station, Message Length
4768, S2, S3, 5
4791, S1, S3, 5
4805, S2, S3, 5
4824, S1, S3, 1
4844, S1, S3, 2
4856, S2, S3, 3
4869, S1, S2, 4
4882, S2, S3, 4
4902, S1, S3, 2
4913, S2, S3, 2
4934, S1, S3, 3
4948, S2, S1, 5
4970, S1, S3, 4
4993, S1, S3, 5
5016, S1, S3, 5
5029, S2, S3, 4
5050, S1, S3, 3
5070, S1, S3, 2
5084, S2, S1, 5
5105, S1, S3, 3
5119, S1, S2, 5
5131, S2, S1, 3
5142, S1, S2, 2
5153, S2, S3, 2
5166, S1, S2, 4
5188, S1, S3, 4
5200, S2, S3, 3
5223, S1, S3, 5
5245, S1, S3, 4
5258, S2, S3, 4
5271, S1, S2, 4
5283, S1, S2, 3
5294, S2, S1, 2
5304, S1, S2, 1
5325, S1, S3, 3
5338, S2, S3, 4
5361, S1, S3, 5
5371, S1, S2, 1
5381, S2, S1, 1
5393, S3, S2, 3
5413, S1, S3, 2
5427, S2, S3, 5
5440, S1, S2, 4
5451, S2, S3, 2
5465, S1, S2, 5
5475, S2, S1, 1
5489, S1, S2, 5
5501, S1, S2, 3
5512, S2, S3, 2
5533, S1, S3, 3
5545, S1, S2, 3
5558, S2, S1, 4
5569, S1, S2, 2
5580, S2, S3, 2
5601, S1, S3, 3
5611, S2, S1, 1
5631, S1, S3, 2
5645, S2, S1, 5
5667, S1, S3, 4
5688, S1, S3, 3
5699, S1, S2, 2
5719, S1, S3, 2
5730, S2, S3, 2
5744, S1, S2, 5
5756, S2, S3, 3
5778, S1, S3, 4
5790, S2, S3, 3
5803, S1, S2, 4
5813, S2, S1, 1
5832, S1, S3, 1
5842, S2, S1, 1
5862, S1, S3, 2
5875, S2, S3, 4
5889, S1, S2, 5
5900, S2, S1, 2
5914, S1, S2, 5
5924, S2, S3, 1
5938, S1, S2, 5
5949, S1, S2, 2
5963, S1, S2, 5
5974, S2, S1, 2
5996, S1, S3, 4
6007, S2, S3, 2
6029, S1, S3, 4
6040, S2, S3, 2
6059, S1, S3, 1
6071, S2, S1, 3
6093, S1, S3, 4
6106, S2, S1, 4
6118, S1, S2, 3
6131, S3, S2, 4
6142, S1, S2, 2
6152, S2, S1, 1
6173, S1, S3, 3
6186, S2, S1, 4
6206, S1, S3, 2
6216, S2, S3, 1
6230, S1, S2, 5
6244, S2, S3, 5
6254, S1, S2, 1
6267, S2, S1, 4
6287, S1, S3, 2
6301, S1, S2, 5
6313, S2, S3, 3
6332, S1, S3, 1
6345, S2, S3, 4
6359, S1, S2, 5
6373, S2, S1, 5
6395, S1, S3, 4
6416, S1, S3, 3
6428, S2, S3, 3
6438, S1, S2, 1
6451, S2, S1, 4
6472, S1, S3, 3
6486, S2, S3, 5
6498, S1, S2, 3
6511, S2, S1, 4
6534, S1, S3, 5
6545, S2, S1, 2
6556, S1, S2, 2
6570, S2, S1, 5
6583, S1, S2, 4
6595, S2, S3, 3
6608, S1, S2, 4
6622, S2, S3, 5
6633, S1, S2, 2
6655, S1, S3, 4
6665, S2, S1, 1
6686, S1, S3, 3
6699, S2, S1, 4
6712, S1, S2, 4
6724, S2, S1, 3
6746, S1, S3, 4
6756, S1, S2, 1
6769, S2, S3, 4
6782, S1, S2, 4
6794, S2, S3, 3
6806, S1, S2, 3
6825, S1, S3, 1
6836, S2, S1, 2
6847, S1, S2, 2
6858, S2, S3, 2
6869, S3, S2, 2
6880, S1, S2, 2
6901, S1, S3, 3
6911, S2, S1, 1
6924, S1, S2, 4
6934, S2, S3, 1
6954, S1, S3, 2
6976, S1, S3, 4
6999, S1, S3, 5
7009, S2, S1, 1
7020, S1, S2, 2
7030, S2, S3, 1
7043, S1, S2, 4
7056, S2, S3, 4
7079, S1, S3, 5
7093, S2, S3, 5
7113, S1, S3, 2
7124, S1, S2, 2
7134, S2, S1, 1
7157, S1, S3, 5
7167, S2, S3, 1
7177, S1, S2, 1
7191, S2, S1, 5
7202, S1, S2, 2
7216, S2, S3, 5
7237, S1, S3, 3
7250, S2, S1, 4
7269, S1, S3, 1
7281, S2, S1, 3
7292, S1, S2, 2
7305, S2, S3, 4
7325, S1, S3, 2
7339, S2, S1, 5
7352, S1, S2, 4
7365, S2, S1, 4
7384, S1, S3, 1
7394, S1, S2, 1
7408, S2, S3, 5
7428, S1, S3, 2
7438, S2, S3, 1
7458, S1, S3, 2
7472, S2, S3, 5
7492, S1, S3, 2
7505, S2, S1, 4
7515, S1, S2, 1
7527, S1, S2, 3
7550, S1, S3, 5
7573, S1, S3, 5
7586, S1, S2, 4
7609, S1, S3, 5
7623, S2, S1, 5
7645, S1, S3, 4
7657, S2, S1, 3
7670, S1, S2, 4
7681, S2, S3, 2
7701, S1, S3, 2
7712, S2, S3, 2
7723, S1, S2, 2
7735, S2, S3, 3
7758, S1, S3, 5
7768, S2, S1, 1
7787, S1, S3, 1
7800, S1, S2, 4
7813, S2, S3, 4
7826, S1, S2, 4
7836, S2, S1, 1
7857, S1, S3, 3
7876, S1, S3, 1
7888, S2, S1, 3
7898, S1, S2, 1
7912, S2, S3, 5
7924, S1, S2, 3
7935, S2, S3, 2
7946, S1, S2, 2
7960, S2, S3, 5
7971, S1, S2, 2
7982, S2, S3, 2
7995, S1, S2, 4
8006, S1, S2, 2
8019, S2, S3, 4
8038, S1, S3, 1
8050, S2, S3, 3
8070, S1, S3, 2
8091, S1, S3, 3
8104, S1, S2, 4
8115, S2, S1, 2
8135, S1, S3, 2
8146, S1, S2, 2
8158, S2, S3, 3
8169, S1, S2, 2
8180, S1, S2, 2
8193, S1, S2, 4
8203, S2, S1, 1
8225, S1, S3, 4
8235, S2, S3, 1
8255, S1, S3, 2
8274, S1, S3, 1
8296, S1, S3, 4
8315, S1, S3, 1
8328, S2, S1, 4
8348, S1, S3, 2
8362, S2, S3, 5
8384, S1, S3, 4
8396, S2, S3, 3
8408, S1, S2, 3
8420, S2, S3, 3
8443, S1, S3, 5
8454, S2, S3, 2
8467, S3, S2, 4
8481, S1, S2, 5
8495, S2, S3, 5
8509, S1, S2, 5
8520, S2, S3, 2
8530, S1, S2, 1
8541, S1, S2, 2
8552, S2, S3, 2
8562, S1, S2, 1
8573, S2, S3, 2
8596, S1, S3, 5
8606, S2, S1, 1
8620, S1, S2, 5
8631, S2, S1, 2
8654, S1, S3, 5
8668, S2, S3, 5
8680, S1, S2, 3
8703, S1, S3, 5
8722, S1, S3, 1
8734, S2, S1, 3
8744, S1, S2, 1
8757, S2, S1, 4
8770, S1, S2, 4
8784, S2, S3, 5
8795, S1, S2, 2
8808, S2, S1, 4
8821, S1, S2, 4
8833, S2, S1, 3
8854, S1, S3, 3
8867, S1, S2, 4
8878, S2, S1, 2
8901, S1, S3, 5
8915, S2, S3, 5
8927, S1, S2, 3
8948, S1, S3, 3
8958, S2, S1, 1
8968, S1, S2, 1
8990, S1, S3, 4
9004, S2, S3, 5
9018, S1, S2, 5
9028, S1, S2, 1
9050, S1, S3, 4
9072, S1, S3, 4
9082, S2, S3, 1
9093, S1, S2, 2
9107, S2, S3, 5
9127, S1, S3, 2
9137, S2, S3, 1
9160, S1, S3, 5
9171, S2, S1, 2
9193, S1, S3, 4
9203, S2, S3, 1
9216, S1, S2, 4
9230, S2, S1, 5
